ad_id,user_id,car_id,title,description,color,transmission,mileage,negotiable,post_date
1,5,21,2018 Daihatsu Terios SUV,Warna: Coklat Jarak tempuh: 64039 Tipe mobil: Manual Harga: 190000000 Bisa nego: Iya,Coklat,Manual,64039,True,2022-03-17 08:13:21
2,65,13,2017 Toyota Calya Wagon,Warna: Oranye Jarak tempuh: 54779 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,Oranye,Automatic,54779,False,2022-11-05 07:18:16
3,93,12,2019 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 33511 Tipe mobil: Manual Harga: 137000000 Bisa nego: Iya,Silver,Manual,33511,True,2022-06-02 21:00:05
4,51,28,2017 Daihatsu Xenia MPV,Warna: Coklat Jarak tempuh: 40994 Tipe mobil: Automatic Harga: 135000000 Bisa nego: Tidak,Coklat,Automatic,40994,False,2022-07-12 02:53:55
5,27,15,2016 Toyota Calya Wagon,Warna: Hijau Jarak tempuh: 12196 Tipe mobil: Automatic Harga: 107000000 Bisa nego: Tidak,Hijau,Automatic,12196,False,2022-04-09 04:57:17
6,91,44,2013 Honda Civic Sedan,Warna: Silver Jarak tempuh: 13900 Tipe mobil: Automatic Harga: 179000000 Bisa nego: Iya,Silver,Automatic,13900,True,2022-12-10 23:59:53
7,68,12,2019 Toyota Calya Wagon,Warna: Coklat Jarak tempuh: 22092 Tipe mobil: Automatic Harga: 137000000 Bisa nego: Iya,Coklat,Automatic,22092,True,2022-09-05 23:57:24
8,24,24,2017 Daihatsu Terios SUV,Warna: Silver Jarak tempuh: 15480 Tipe mobil: Automatic Harga: 166000000 Bisa nego: Iya,Silver,Automatic,15480,True,2022-05-25 03:20:29
9,93,6,2019 Toyota Agya Hatchback,Warna: Hijau Jarak tempuh: 11704 Tipe mobil: Automatic Harga: 114000000 Bisa nego: Iya,Hijau,Automatic,11704,True,2022-12-15 21:08:09
10,36,46,2015 Suzuki Ertiga MPV,Warna: Putih Jarak tempuh: 35979 Tipe mobil: Manual Harga: 125000000 Bisa nego: Iya,Putih,Manual,35979,True,2022-07-30 21:59:24
11,45,19,2017 Daihatsu Ayla Hatchback,Warna: Hijau Jarak tempuh: 70098 Tipe mobil: Automatic Harga: 115000000 Bisa nego: Iya,Hijau,Automatic,70098,True,2022-02-16 07:36:17
12,22,37,2017 Honda CR-V SUV,Warna: Hijau Jarak tempuh: 72673 Tipe mobil: Manual Harga: 345000000 Bisa nego: Iya,Hijau,Manual,72673,True,2022-04-07 07:22:39
13,6,8,2016 Toyota Agya Hatchback,Warna: Silver Jarak tempuh: 15219 Tipe mobil: Manual Harga: 110000000 Bisa nego: Iya,Silver,Manual,15219,True,2022-09-01 05:18:09
14,55,47,2018 Suzuki Ertiga MPV,Warna: Hijau Jarak tempuh: 39793 Tipe mobil: Manual Harga: 178000000 Bisa nego: Iya,Hijau,Manual,39793,True,2022-10-16 04:17:28
15,93,18,2015 Daihatsu Ayla Hatchback,Warna: Merah Jarak tempuh: 51120 Tipe mobil: Automatic Harga: 96000000 Bisa nego: Iya,Merah,Automatic,51120,True,2022-09-05 15:50:25
16,6,33,2018 Honda Jazz Hatchback,Warna: Putih Jarak tempuh: 51305 Tipe mobil: Automatic Harga: 216000000 Bisa nego: Iya,Putih,Automatic,51305,True,2022-12-26 10:06:37
17,65,11,2019 Toyota Calya Wagon,Warna: Silver Jarak tempuh: 51197 Tipe mobil: Automatic Harga: 130000000 Bisa nego: Tidak,Silver,Automatic,51197,False,2022-03-20 11:06:55
18,3,26,2019 Daihatsu Xenia MPV,Warna: Putih Jarak tempuh: 36716 Tipe mobil: Automatic Harga: 170000000 Bisa nego: Iya,Putih,Automatic,36716,True,2022-07-08 14:52:03
19,38,36,2018 Honda CR-V SUV,Warna: Merah Jarak tempuh: 64975 Tipe mobil: Manual Harga: 415000000 Bisa nego: Tidak,Merah,Manual,64975,False,2022-10-28 15:47:25
20,33,20,2017 Daihatsu Ayla Hatchback,Warna: Kuning Jarak tempuh: 10215 Tipe mobil: Automatic Harga: 113000000 Bisa nego: Iya,Kuning,Automatic,10215,True,2022-05-24 20:18:58
21,89,28,2017 Daihatsu Xenia MPV,Warna: Hitam Jarak tempuh: 58199 Tipe mobil: Automatic Harga: 135000000 Bisa nego: Tidak,Hitam,Automatic,58199,False,2022-06-20 03:23:15
