ad_id,user_id,car_id,title,negotiable,description,post_date
1,53,3,2014 Toyota Yaris Hatchback,True,Warna: Biru Jarak tempuh: 32900 Tipe mobil: Manual Harga: 162000000 Bisa nego: Iya,2022-02-25 12:30:22
2,88,39,2016 Honda CR-V SUV,False,Warna: Biru Jarak tempuh: 73594 Tipe mobil: Automatic Harga: 269000000 Bisa nego: Tidak,2022-07-18 00:36:17
3,68,38,2009 Honda CR-V SUV,True,Warna: Abu-abu Jarak tempuh: 13356 Tipe mobil: Manual Harga: 116000000 Bisa nego: Iya,2022-06-20 01:12:48
4,61,13,2017 Toyota Calya Wagon,False,Warna: Oranye Jarak tempuh: 62833 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,2022-05-26 17:14:56
5,39,10,2017 Toyota Agya Hatchback,False,Warna: Kuning Jarak tempuh: 44577 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Tidak,2022-07-15 00:47:22
6,77,34,2015 Honda Jazz Hatchback,True,Warna: Coklat Jarak tempuh: 33339 Tipe mobil: Automatic Harga: 192000000 Bisa nego: Iya,2022-04-03 13:29:51
7,62,19,2017 Daihatsu Ayla Hatchback,False,Warna: Hijau Jarak tempuh: 61602 Tipe mobil: Automatic Harga: 115000000 Bisa nego: Tidak,2022-07-05 10:25:50
8,46,38,2009 Honda CR-V SUV,False,Warna: Putih Jarak tempuh: 58128 Tipe mobil: Automatic Harga: 116000000 Bisa nego: Tidak,2022-03-29 05:34:49
9,63,11,2019 Toyota Calya Wagon,False,Warna: Putih Jarak tempuh: 46961 Tipe mobil: Manual Harga: 130000000 Bisa nego: Tidak,2022-11-23 09:00:42
10,62,13,2017 Toyota Calya Wagon,True,Warna: Coklat Jarak tempuh: 61865 Tipe mobil: Automatic Harga: 115500000 Bisa nego: Iya,2022-03-20 16:26:41
11,10,37,2017 Honda CR-V SUV,True,Warna: Kuning Jarak tempuh: 75357 Tipe mobil: Automatic Harga: 345000000 Bisa nego: Iya,2022-05-12 14:12:20
12,53,11,2019 Toyota Calya Wagon,True,Warna: Biru Jarak tempuh: 39585 Tipe mobil: Automatic Harga: 130000000 Bisa nego: Iya,2022-11-22 00:46:13
13,8,46,2015 Suzuki Ertiga MPV,False,Warna: Silver Jarak tempuh: 65146 Tipe mobil: Manual Harga: 125000000 Bisa nego: Tidak,2022-03-10 02:12:22
14,94,34,2015 Honda Jazz Hatchback,True,Warna: Hijau Jarak tempuh: 44275 Tipe mobil: Automatic Harga: 192000000 Bisa nego: Iya,2022-12-21 00:11:22
